Index,Date,Average Price,Type,Year,Region,Total Volume
32,17/05/2015,1.11,conventional,2015,Atlanta,451250.7
33,10/05/2015,1.1,conventional,2015,Atlanta,480071.18
34,3/05/2015,1,conventional,2015,Atlanta,634213.1
35,26/04/2015,1.12,conventional,2015,Atlanta,448596.76
36,19/04/2015,1.12,conventional,2015,Atlanta,430966.34
37,12/04/2015,0.99,conventional,2015,Atlanta,451101.89
38,5/04/2015,1.04,conventional,2015,Atlanta,383139.49
39,29/03/2015,1.11,conventional,2015,Atlanta,365722.14
40,22/03/2015,1,conventional,2015,Atlanta,479590.62
41,15/03/2015,1.12,conventional,2015,Atlanta,399566.22
42,8/03/2015,1.1,conventional,2015,Atlanta,420826.32
43,1/03/2015,0.99,conventional,2015,Atlanta,512532.44
44,22/02/2015,1.1,conventional,2015,Atlanta,431308.56
45,15/02/2015,1.06,conventional,2015,Atlanta,427391.28
46,8/02/2015,1.03,conventional,2015,Atlanta,433883.91
47,1/02/2015,0.96,conventional,2015,Atlanta,636771.37
48,25/01/2015,1.1,conventional,2015,Atlanta,449332.85
49,18/01/2015,1.11,conventional,2015,Atlanta,431490.99
50,11/01/2015,1.11,conventional,2015,Atlanta,397542.72
51,4/01/2015,1,conventional,2015,Atlanta,435021.49
0,27/12/2015,1.17,conventional,2015,BaltimoreWashington,596819.4
1,20/12/2015,1.11,conventional,2015,BaltimoreWashington,642682.4
2,13/12/2015,1.15,conventional,2015,BaltimoreWashington,619509.33
3,6/12/2015,1.04,conventional,2015,BaltimoreWashington,649141.25
4,29/11/2015,1.16,conventional,2015,BaltimoreWashington,545800.05
5,22/11/2015,1.12,conventional,2015,BaltimoreWashington,572019.8
6,15/11/2015,1.04,conventional,2015,BaltimoreWashington,718330.48
7,8/11/2015,1.05,conventional,2015,BaltimoreWashington,830967.23
8,1/11/2015,1.12,conventional,2015,BaltimoreWashington,742220.67
9,25/10/2015,1.19,conventional,2015,BaltimoreWashington,656892.03
10,18/10/2015,0.99,conventional,2015,BaltimoreWashington,1005603.78
11,11/10/2015,1.24,conventional,2015,BaltimoreWashington,653560.14
12,4/10/2015,1.28,conventional,2015,BaltimoreWashington,657444.04
13,27/09/2015,1.19,conventional,2015,BaltimoreWashington,696281.81
14,20/09/2015,1.17,conventional,2015,BaltimoreWashington,709268.62
15,13/09/2015,1.09,conventional,2015,BaltimoreWashington,924993.61
16,6/09/2015,1.18,conventional,2015,BaltimoreWashington,823623.36
17,30/08/2015,1.24,conventional,2015,BaltimoreWashington,734721.29
18,23/08/2015,1.16,conventional,2015,BaltimoreWashington,783935.36
19,16/08/2015,1.14,conventional,2015,BaltimoreWashington,882754.72
20,9/08/2015,1.16,conventional,2015,BaltimoreWashington,821523.45
21,2/08/2015,1.17,conventional,2015,BaltimoreWashington,800603.23
22,26/07/2015,1.2,conventional,2015,BaltimoreWashington,772926.12
23,19/07/2015,1.18,conventional,2015,BaltimoreWashington,800194.34
24,12/07/2015,1.1,conventional,2015,BaltimoreWashington,850931.58
25,5/07/2015,1.16,conventional,2015,BaltimoreWashington,896298.77
26,28/06/2015,1.15,conventional,2015,BaltimoreWashington,862261.64
27,21/06/2015,1.16,conventional,2015,BaltimoreWashington,862840.73
28,14/06/2015,1.09,conventional,2015,BaltimoreWashington,955046.82
29,7/06/2015,1.26,conventional,2015,BaltimoreWashington,794310.29
30,31/05/2015,1.19,conventional,2015,BaltimoreWashington,949177.06
31,24/05/2015,1.18,conventional,2015,BaltimoreWashington,908661.83
32,17/05/2015,1.27,conventional,2015,BaltimoreWashington,790853.86
33,10/05/2015,1.26,conventional,2015,BaltimoreWashington,855205.82
34,3/05/2015,1.17,conventional,2015,BaltimoreWashington,896972.05
35,26/04/2015,1.29,conventional,2015,BaltimoreWashington,747841.09
36,19/04/2015,1.28,conventional,2015,BaltimoreWashington,762862.62
